Country,Region,Population
Democratic Republic of Congo,Africa,105044646
France,Europe,68051000
Canada,North America,38653740
Madagascar,Africa,24235400
Cameroon,Africa,23345200
C̫te d'Ivoire,Africa,22701600
Niger,Africa,19899100
Burkina Faso,Africa,18105600
Senegal,Africa,15129300
Chad,Africa,14037500
Guinea,Africa,12608600
Rwanda,Africa,11607700
Belgium,Europe,11358357
Burundi,Africa,11178900
Benin,Africa,10879800
Haiti,Caribbean,10711100
Switzerland,Europe,8510000
Togo,Africa,7304600
Central African Republic,Africa,4900300
Congo,Africa,4620300
Gabon,Africa,1725300
Equatorial Guinea,Africa,1221490
Djibouti,Africa,887861
Comoros,Africa,795601
Luxembourg,Europe,602900
Vanuatu,Oceania,264652
Seychelles,Africa,92900
Monaco,Europe,38731
Total,All countries,World,490444060
